provider_number,year,state,state_name,uncomp_care,uncomp_care_m,expand_year,expand_ever,expanded,date_adopted,post,treat,time_to_treat,time_to_treat_bin
010018,2018,AL,Alabama,2112376.0,2.112376,,0,0,,1,0,0,0
010019,2011,AL,Alabama,4718328.0,4.718328,,0,0,,0,0,0,0
010019,2012,AL,Alabama,5676845.0,5.676845,,0,0,,0,0,0,0
010019,2013,AL,Alabama,6595874.0,6.595874,,0,0,,0,0,0,0
010019,2014,AL,Alabama,1848247.0,1.848247,,0,0,,1,0,0,0
010019,2015,AL,Alabama,5097563.0,5.097563,,0,0,,1,0,0,0
010019,2016,AL,Alabama,9304456.0,9.304456,,0,0,,1,0,0,0
010019,2017,AL,Alabama,9165116.0,9.165116,,0,0,,1,0,0,0
010019,2018,AL,Alabama,7656959.0,7.656959,,0,0,,1,0,0,0
010021,2011,AL,Alabama,42357.0,0.042357,,0,0,,0,0,0,0
010021,2012,AL,Alabama,2653683.0,2.653683,,0,0,,0,0,0,0
010021,2013,AL,Alabama,2261063.0,2.261063,,0,0,,0,0,0,0
010021,2014,AL,Alabama,2384015.0,2.384015,,0,0,,1,0,0,0
010021,2015,AL,Alabama,2051072.0,2.051072,,0,0,,1,0,0,0
010021,2016,AL,Alabama,2285846.0,2.285846,,0,0,,1,0,0,0
010021,2017,AL,Alabama,2689754.0,2.689754,,0,0,,1,0,0,0
010021,2018,AL,Alabama,3062653.0,3.062653,,0,0,,1,0,0,0
010022,2012,AL,Alabama,740947.0,0.740947,,0,0,,0,0,0,0
010022,2013,AL,Alabama,652628.0,0.652628,,0,0,,0,0,0,0
010022,2014,AL,Alabama,626756.0,0.626756,,0,0,,1,0,0,0
010022,2015,AL,Alabama,569266.0,0.569266,,0,0,,1,0,0,0
010022,2016,AL,Alabama,489300.0,0.4893,,0,0,,1,0,0,0
010022,2017,AL,Alabama,611611.0,0.611611,,0,0,,1,0,0,0
010022,2018,AL,Alabama,47141.0,0.047141,,0,0,,1,0,0,0
010023,2012,AL,Alabama,21564459.0,21.564459,,0,0,,0,0,0,0
010023,2013,AL,Alabama,28928844.0,28.928844,,0,0,,0,0,0,0
010023,2014,AL,Alabama,24392533.0,24.392533,,0,0,,1,0,0,0
010023,2015,AL,Alabama,21744944.0,21.744944,,0,0,,1,0,0,0
010023,2016,AL,Alabama,22442021.0,22.442021,,0,0,,1,0,0,0
010023,2017,AL,Alabama,23932462.0,23.932462,,0,0,,1,0,0,0
010023,2018,AL,Alabama,25629830.0,25.62983,,0,0,,1,0,0,0
010024,2011,AL,Alabama,10677398.0,10.677398,,0,0,,0,0,0,0
010024,2012,AL,Alabama,10441539.0,10.441539,,0,0,,0,0,0,0
010024,2013,AL,Alabama,10699250.0,10.69925,,0,0,,0,0,0,0
010024,2014,AL,Alabama,9891145.0,9.891145,,0,0,,1,0,0,0
010024,2015,AL,Alabama,9132070.0,9.13207,,0,0,,1,0,0,0
010024,2016,AL,Alabama,11603964.0,11.603964,,0,0,,1,0,0,0
010024,2017,AL,Alabama,11734984.0,11.734984,,0,0,,1,0,0,0
010024,2018,AL,Alabama,11600488.0,11.600488,,0,0,,1,0,0,0
010025,2012,AL,Alabama,3901323.0,3.901323,,0,0,,0,0,0,0
010025,2013,AL,Alabama,3213410.0,3.21341,,0,0,,0,0,0,0
010025,2014,AL,Alabama,2017337.0,2.017337,,0,0,,1,0,0,0
010027,2012,AL,Alabama,33872.0,0.033872,,0,0,,0,0,0,0
